N°_département_(BAN),Date_réception_DPE,Date_établissement_DPE,Date_visite_diagnostiqueur,Etiquette_GES,Etiquette_DPE,Année_construction,Surface_habitable_logement,Adresse_(BAN),Code_postal_(BAN)
72,2023-06-19,2023-06-19,2023-06-16,A,A,,105.1,18 Rue des Pinsons 72610 Saint-Paterne - Le Chevain,72610
72,2022-05-09,2022-05-09,2022-05-09,A,A,2020,71.8,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2023-05-15,2023-05-15,2023-05-15,A,A,2013,98.9,10 Chemin des Etriers 72200 La Flèche,72200
72,2022-05-09,2022-05-09,2022-05-09,A,A,2020,71.4,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-05-09,2022-05-09,2022-05-09,A,A,2020,58,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-05-09,2022-05-09,2022-05-09,A,A,2020,71.9,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-05-09,2022-05-09,2022-05-09,A,A,2020,58.6,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-06-29,2022-06-28,2022-06-28,A,A,2020,67.3,Rue du Major Christophe Fournier 72170 Beaumont-sur-Sarthe,72170
72,2022-09-14,2022-09-14,2022-09-14,A,A,2015,177.1,95 Impasse des 3 Chenes 72230 Ruaudin,72230
72,2022-05-20,2022-05-20,2022-05-20,A,A,2019,69.4,Route de Bois Martin 72560 Changé,72560
72,2022-05-09,2022-05-09,2022-05-09,A,A,2020,71.9,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-12-05,2022-12-05,2022-11-29,A,A,1948,101.1,5 Rue de la Basse Groie 72540 Chassillé,72540
72,2022-05-11,2022-05-09,2022-05-09,A,A,2020,71.4,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-05-11,2022-05-09,2022-05-09,A,A,2020,58,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2023-03-31,2023-03-31,2023-03-31,A,A,2023,96.4,Rue du Douau 72270 Villaines-sous-Malicorne,72270
72,2023-06-06,2023-06-06,2023-06-05,A,A,2021,123.2,rue Juan les Pins 72190 Coulaines,72190
72,2023-02-05,2023-02-03,2023-02-03,A,A,2022,145.1,10 impasse du Broussin 72700 Rouillon,72700
72,2022-06-02,2022-06-02,2022-06-02,A,B,2018,66.7,Rue des Lys 72550 Chaufour-Notre-Dame,72550
72,2022-06-02,2022-06-02,2022-06-02,A,B,2018,66.7,Rue des Lys 72550 Chaufour-Notre-Dame,72550
72,2022-06-29,2022-06-28,2022-06-27,A,B,2020,78.3,Rue du Major Christophe Fournier 72170 Beaumont-sur-Sarthe,72170
72,2022-05-31,2022-05-09,2022-05-09,A,B,2020,58.6,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2023-01-03,2023-01-03,2022-12-30,A,B,1986,111,1b Rue Fernand Crapez 72250 Parigné-l'Évêque,72250
72,2021-11-03,2021-11-03,2021-11-03,A,B,2013,116.5,4 Rue des Bleuets 72650 Aigné,72650
72,2022-06-28,2022-06-28,2022-06-28,A,B,2020,67,Cour du Louvre 72440 Bouloire,72440
72,2022-10-25,2022-10-25,2022-10-21,A,B,,170,1 La Tremblaye 72270 Ligron,72270
72,2022-05-31,2022-05-09,2022-05-09,A,B,2020,71.8,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2022-06-01,2022-06-01,2022-05-09,A,B,2020,89.4,Allée des Tilleuls 72300 La Chapelle-d'Aligné,72300
72,2021-11-09,2021-11-09,2021-11-02,A,B,2013,131.7,Rue des Boucheries 72380 La Guierche,72380
72,2023-04-19,2023-04-19,2023-04-17,A,B,2010,136.1,Les Rainieres 72430 Pirmil,72430
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,69,8 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2022-06-02,2022-06-02,2022-06-02,A,B,2018,66.7,Rue des Lys 72550 Chaufour-Notre-Dame,72550
72,2021-10-15,2021-10-15,2021-10-15,A,B,2020,195,chemin du Tertre 72230 Arnage,72230
72,2021-11-15,2021-11-15,2021-11-15,A,B,1948,134.8,2a Route du Verger 72230 Moncé-en-Belin,72230
72,2021-11-04,2021-11-04,2021-11-02,A,B,1948,73,Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2023-04-26,2023-04-26,2023-04-25,A,B,,130,30 Route de Montreuil 72190 Neuville-sur-Sarthe,72190
72,2023-05-22,2023-05-22,2023-05-16,A,B,1976,174,260 rue de l'Eventail 72000 Le Mans,72000
72,2022-03-01,2022-03-01,2022-03-01,A,B,1947,174.2,La Courvillerie 72600 Saint-Vincent-des-Prés,72600
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,69,5 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2022-10-27,2022-10-27,2022-10-25,A,B,,119.6,4 Impasse des Petits Bois d'Angers 72460 Saint-Corneille,72460
72,2021-10-27,2021-10-27,2021-10-25,A,B,2013,99,5 Lâ€™Offie 72600 Saint-Calez-en-Saosnois,72600
72,2021-11-02,2021-11-02,2021-11-02,A,B,1989,54,2 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2023-07-11,2023-07-11,2023-07-11,A,B,,115.2,66 rue Edith Piaf 72000 Le Mans,72000
72,2021-11-17,2021-11-17,2021-11-15,A,B,2015,77,23 Allée Itala 72470 Saint-Mars-la-Brière,72470
72,2023-02-24,2023-02-24,2023-02-24,A,B,,95,4 Square Jacqueline Auriol 72320 Vibraye,72320
72,2022-01-20,2022-01-20,2022-01-20,A,B,1989,55.3,18 Avenue Guy Bouriat 72530 Yvré-l'Évêque,72530
72,2021-10-27,2021-10-27,2021-10-13,A,B,1947,104.9,Les Forges 72500 Lavernat,72500
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,54,9 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2021-11-29,2021-11-29,2021-11-27,A,B,1947,160,Les Bates 72540 Loué,72540
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,69,1 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2022-03-07,2022-03-07,2022-02-22,A,B,1947,450.9,38 Rue Gabriel Goussault 72320 Vibraye,72320
72,2021-11-30,2021-11-30,2021-11-29,A,B,1947,89.2,66 Rue Henry Roquet 72220 Laigné-en-Belin,72220
72,2021-11-08,2021-11-08,2021-11-08,A,B,2006,116,35 Rue Ethel et Julius Rosenberg 72700 Allonnes,72700
72,2022-12-01,2022-12-01,2022-12-01,A,B,2009,146,30 Rue de Bel Air 72210 Voivres-lès-le-Mans,72210
72,2021-11-26,2021-11-26,2021-11-26,A,B,1947,249.3,26 Rue des Chesnais 72250 Brette-les-Pins,72250
72,2021-11-29,2021-11-29,2021-11-26,A,B,2007,85,24 Domaine du Four à Chanvre 72380 Souillé,72380
72,2021-12-01,2021-12-01,2021-12-01,A,B,1975,98,10 Route du Petit Paris 72300 Juigné-sur-Sarthe,72300
72,2022-08-02,2022-08-02,2022-08-02,A,B,,136.8,10ter Rue de la Mairie 72400 La Chapelle-du-Bois,72400
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,54,7 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2021-11-03,2021-11-03,2021-11-03,A,B,2006,68.1,11 Avenue François Chancel 72000 Le Mans,72000
72,2022-02-23,2022-02-23,2022-02-23,A,B,2017,89,6 Rue du Pont Aubry 72430 Chantenay-Villedieu,72430
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,54,6 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2021-12-09,2021-12-08,2021-12-08,A,B,2013,108,17 Rue Ethel et Julius Rosenberg 72700 Allonnes,72700
72,2021-11-17,2021-11-17,2021-11-17,A,B,1999,178,16 Chemin des Marais 72460 Saint-Corneille,72460
72,2021-11-04,2021-11-04,2021-11-02,A,B,1989,54,10 Résidence des Quatre Vents 72160 La Chapelle-Saint-Rémy,72160
72,2022-07-20,2022-07-20,2022-07-20,A,B,2012,97,5 Rue des Mortrons 72190 Sargé-lès-le-Mans,72190
72,2022-04-07,2022-04-07,2022-04-07,A,B,1980,78.4,La Brunetière 72310 Loir en Vallée,72310
72,2022-11-10,2022-11-10,2022-11-07,A,B,2013,120.6,8 Rue de la Merceraie 72200 Crosmières,72200
72,2021-11-03,2021-11-03,2021-11-03,A,B,2013,185.2,9 Rue de la Foresterie 72000 Le Mans,72000
72,2021-11-15,2021-11-15,2021-11-15,A,B,1948,134.8,2a Route du Verger 72230 Moncé-en-Belin,72230
72,2023-07-20,2023-07-20,2023-07-20,A,B,2009,120.1,7 Rue du Clos Fleuri 72430 Fercé-sur-Sarthe,72430
72,2022-08-02,2022-08-01,2022-08-01,A,B,1971,162.7,21 rue de Maquère 72650 Aigné,72650
72,2023-04-23,2023-04-20,2023-04-20,A,B,1900,204.8,1 La Toriniere 72130 Saint-Paul-le-Gaultier,72130
72,2022-10-20,2022-10-20,2022-10-20,A,B,,17,2 rue Pasteur 72000 Le Mans,72000
